date,model,launched,destroyed
2023-04-08,Supercam,1,1
2023-04-10,Orlan-10,1,1
2023-04-10,Merlin-VR,1,1
2023-04-18,Shahed-136/131,8,6
2023-04-18,Orlan-10,1,1
2023-04-19,Shahed-136/131,12,10
2023-04-19,Shahed-136/131,11,10
2023-04-21,Shahed-136/131,12,8
2023-04-21,Shahed-136/131,5,4
2023-04-22,Lancet,4,4
2023-04-23,Merlin-VR,1,1
2023-04-24,Shahed-136/131,6,6
2023-04-24,Lancet,2,2
2023-04-24,Unknown UAV,1,1
2023-04-26,Lancet,5,5
2023-04-26,Merlin-VR,1,1
2023-04-28,Unknown UAV,2,2
2023-04-28,X-101/X-555,23,21
2023-04-29,Shahed-136/131,2,2
2023-04-29,Unknown UAV,1,1
2023-05-01,X-101/X-555,18,15
2023-05-02,Shahed-136/131,26,21
2023-05-03,Lancet,2,2
2023-05-03,Merlin-VR,1,1
2023-05-03,Unknown UAV,1,1
2023-05-04,Shahed-136/131,24,18
2023-05-04,Unknown UAV,1,1
2023-05-04,X-47 Kinzhal,1,1
2023-05-05,Shahed-136/131,2,2
2023-05-06,Shahed-136/131,8,8
2023-05-06,Lancet,1,1
2023-05-06,Unknown UAV,4,4
2023-05-08,Unknown Missile,8,0
2023-05-08,Shahed-136/131,35,35
2023-05-08,Lancet,2,2
2023-05-08,ZALA,1,1
2023-05-08,Kalibr,8,8
2023-05-09,X-101/X-555,17,15
2023-05-09,Shahed-136/131,3,3
2023-05-12,Lancet,4,4
2023-05-13,Shahed-136/131,21,17
2023-05-13,Orlan-10,1,1
2023-05-14,Shahed-136/131,18,18
2023-05-14,Lancet,1,1
2023-05-14,Orlan-10,2,2
2023-05-14,Unknown UAV,4,4
2023-05-14,X-101/X-555,3,3
2023-05-14,Orlan-10,2,2
2023-05-14,ZALA,1,1
2023-05-14,Orlan-10,1,1
2023-05-14,Shahed-136/131,4,4
2023-05-15,Orlan-10,1,1
2023-05-15,Lancet,2,2
2023-05-15,Supercam,1,1
2023-05-16,X-47 Kinzhal,6,6
2023-05-16,Kalibr,9,9
2023-05-16,Iskander-M,6,6
2023-05-16,C-400,4,4
2023-05-16,Shahed-136/131,6,6
2023-05-16,Orlan-10,1,1
2023-05-16,Supercam,2,2
2023-05-16,Orlan-10,1,1
2023-05-16,Unknown UAV,1,1
2023-05-17,Unknown UAV,2,2
2023-05-17,Shahed-136/131,2,2
2023-05-17,X-101/X-555,22,21
2023-05-17,Kalibr,6,6
2023-05-17,Iskander-K,2,2
2023-05-19,Kalibr,6,3
2023-05-19,Shahed-136/131,22,16
2023-05-19,Shahed-136/131,2,2
2023-05-19,Merlin-VR,1,1
2023-05-20,Shahed-136/131,18,18
2023-05-20,Shahed-136/131,3,3
2023-05-20,Merlin-VR,1,1
2023-05-20,Orlan-10,1,1
2023-05-20,Shahed-136/131,4,4
2023-05-21,Merlin-VR,1,1
2023-05-21,Orlan-10,1,1
2023-05-21,ZALA,1,1
2023-05-22,Shahed-136/131,20,20
2023-05-22,X-101/X-555,4,4
2023-05-22,X-22,5,0
2023-05-22,Iskander-M,2,0
2023-05-22,C-300,5,0
2023-05-22,Merlin-VR,2,2
2023-05-23,Shahed-136/131,6,6
2023-05-25,Shahed-136/131,36,36
2023-05-25,Shahed-136/131,31,23
2023-05-25,C-300 and C-400,7,0
2023-05-25,X-101/X-555,10,10
2023-05-25,Orlan-10,1,1
2023-05-25,Merlin-VR,1,1
2023-05-28,Shahed-136/131,54,52
2023-05-29,X-101/X-555,40,37
2023-05-29,Shahed-136/131,35,29
2023-05-29,Unknown UAV,1,1
2023-05-29,Iskander-M and Iskander-K,11,11
2023-05-29,Shahed-136/131,31,29
2023-05-31,Merlin-VR,2,2
2023-05-31,Lancet,2,2
2023-05-31,Orlan-10,1,1
2023-06-01,Iskander-M,7,7
2023-06-01,Iskander-K,3,3
2023-06-01,Shahed-136/131,21,21
2023-06-02,X-101/X-555,15,15
2023-06-04,X-101/X-555,6,4
2023-06-04,Shahed-136/131,5,3
2023-06-06,X-101/X-555,35,35
2023-06-07,Orlan-10,1,1
2023-06-07,Lancet,1,1
2023-06-08,Kalibr,2,0
2023-06-08,X-101/X-555,6,4
2023-06-08,Shahed-136/131 and Lancet,16,10
2023-06-08,Orlan-10 and Supercam,4,4
2023-06-09,Orlan-10 and ZALA and Supercam,12,12
2023-06-09,Unknown Missile,8,2
2023-06-09,Shahed-136/131,35,20
2023-06-11,Shahed-136/131,6,6
2023-06-13,X-101/X-555,14,10
2023-06-13,Shahed-136/131,4,1
2023-06-14,Kalibr,4,3
2023-06-14,Shahed-136/131,10,9
2023-06-14,X-22,6,0
2023-06-15,X-101/X-555,4,1
2023-06-15,Shahed-136/131,20,20
2023-06-15,Orlan-10,2,2
2023-06-15,Orlan-30,1,1
2023-06-15,Lancet,1,1
2023-06-15,ZALA,1,1
2023-06-15,Reconnaissance UAV,1,1
2023-06-16,Shahed-136/131,2,2
2023-06-16,Kalibr,6,6
2023-06-16,X-47 Kinzhal,6,6
2023-06-16,Reconnaissance UAV,2,2
2023-06-17,Shahed-136/131,4,4
2023-06-17,Lancet,1,1
2023-06-17,Orlan-10 and Orlan-30 and ZALA and Supercam,7,7
2023-06-19,Shahed-136/131,4,4
2023-06-19,Kalibr,4,4
2023-06-20,Shahed-136/131,35,32
2023-06-20,Reconnaissance UAV,4,4
2023-06-20,Shahed-136/131,6,6
2023-06-22,Shahed-136/131,4,3
2023-06-22,X-22,3,0
2023-06-22,X-47 Kinzhal,3,0
2023-06-23,X-101/X-555,13,13
2023-06-23,Reconnaissance UAV,1,1
2023-06-24,X-101/X-555,40,40
2023-06-24,X-22,9,0
2023-06-24,Kalibr,2,1
2023-06-24,Shahed-136/131,2,2
2023-06-26,Kalibr,3,2
2023-06-26,Shahed-136/131,8,7
2023-06-26,Unknown UAV,4,4
2023-06-28,Shahed-136/131,6,6
2023-06-30,Shahed-136/131,13,10
2023-06-30,C-300,4,0
2023-07-02,Kalibr,3,3
2023-07-02,Shahed-136/131,8,8
2023-07-03,Shahed-136/131,17,13
2023-07-05,Lancet,4,4
2023-07-05,Merlin-VR,2,2
2023-07-05,ZALA,1,1
2023-07-05,Orlan-10,1,1
2023-07-06,Kalibr,10,7
2023-07-07,Shahed-136/131,18,12
2023-07-08,Shahed-136/131,5,5
2023-07-10,Lancet,3,3
2023-07-10,Reconnaissance UAV,4,4
2023-07-11,ZALA,1,1
2023-07-11,Shahed-136/131,28,26
2023-07-12,Shahed-136/131,15,11
2023-07-13,Shahed-136/131,20,20
2023-07-13,Kalibr,2,2
2023-07-13,Iskander-M,1,0
2023-07-13,Reconnaissance UAV,6,6
2023-07-13,Shahed-136/131,17,16
2023-07-13,Reconnaissance UAV,1,1
2023-07-14,Orlan-10 and ZALA,3,3
2023-07-14,Lancet,3,3
2023-07-15,Shahed-136/131,6,4
2023-07-17,Shahed-136/131,3,3
2023-07-17,Lancet,1,1
2023-07-17,Reconnaissance UAV,9,9
2023-07-18,Shahed-136/131,36,31
2023-07-18,Reconnaissance UAV,1,1
2023-07-18,Kalibr,6,6
2023-07-19,Shahed-136/131,32,23
2023-07-19,X-59,1,1
2023-07-19,Kalibr,16,13
2023-07-19,X-22,8,0
2023-07-19,P-800 Oniks,6,0
2023-07-20,Shahed-136/131,19,13
2023-07-20,Kalibr,3,2
2023-07-20,Iskander-K,5,3
2023-07-20,P-800 Oniks,7,0
2023-07-20,X-22,4,0
2023-07-21,Reconnaissance UAV,9,9
2023-07-22,Shahed-136/131,5,5
2023-07-23,P-800 Oniks,5,0
2023-07-23,X-22,3,0
2023-07-23,Kalibr,4,4
2023-07-23,Iskander-K,5,5
2023-07-23,Iskander-M,2,2
2023-07-24,Shahed-136/131,3,3
2023-07-26,Kalibr,3,3
2023-07-26,X-101/X-555,36,33
2023-07-26,X-47 Kinzhal,4,0
2023-07-27,Kalibr,2,0
2023-07-27,Shahed-136/131,8,8
2023-07-29,Reconnaissance UAV,4,4
2023-07-30,Shahed-136/131,4,4
2023-08-02,Shahed-136/131,23,23
2023-08-02,Reconnaissance UAV,7,7
2023-08-03,Shahed-136/131,15,15
2023-08-05,Kalibr,14,13
2023-08-05,X-47 Kinzhal,3,0
2023-08-05,Shahed-136/131,27,27
2023-08-05,Kalibr,6,5
2023-08-05,X-101/X-555,20,13
2023-08-10,Shahed-136/131,10,7
2023-08-11,X-47 Kinzhal,4,1
2023-08-12,Shahed-136/131,5,3
2023-08-14,Shahed-136/131,15,15
2023-08-14,Kalibr,8,8
2023-08-15,Kalibr,4,2
2023-08-15,X-22,4,0
2023-08-15,X-101/X-555,20,14
2023-08-15,C-300 and C-400,8,0
2023-08-15,Shahed-136/131,13,13
2023-08-16,Shahed-136/131,3,3
2023-08-18,Lancet,1,1
2023-08-18,Reconnaissance UAV,6,6
2023-08-19,Shahed-136/131,17,15
2023-08-23,Shahed-136/131,20,11
2023-08-24,Iskander-K,1,1
2023-08-25,X-59,2,2
2023-08-25,Kalibr,2,2
2023-08-25,Shahed-136/131,1,1
2023-08-26,Shahed-136/131,2,2
2023-08-27,Shahed-136/131,2,2
2023-08-27,X-101/X-555,8,4
2023-08-28,X-59,2,2
2023-08-28,Kalibr,4,2
2023-08-30,X-101/X-555,28,28
2023-08-30,Shahed-136/131,16,15
2023-09-01,Kalibr,2,1
